过氧化氢 制 氧气 方程式 ,过氧化氢 制 氧气 的 现象 ,1.0
可逆过程 一定 是 平衡 过程 ,可逆过程 和 平衡 的 关系 与 区别 ,1.0
文中 写 壶口 的 两个 传说 的 作用 ,"奇伟 壮丽 的 壶口   在 山西 晋南 , 除了 运城 的 关帝庙 , 永济 的 莺 莺 塔 之外 , 还有 一处 中外 闻名 的 自然风景 胜地 , 这 便是 奇伟 壮观 的 黄河 壶口 . / / 滔滔 的 黄河水 自北 从 数百米 宽 的 河床 排山倒海 般地 直逼 ",2.0
一个 正确 的 机构 运动 简图 ,一个 正确 的 平面 机构 运动 简图 应 能 说明 哪些 内容 ? 而 不是 实验 过程 ,2.0
稀释 涂布 平板 法 稀释 的 目的 ,求解 血球 计数法 和 稀释 涂布 平板 法 的 区别 ,1.0
两个 顾客 买 走 其中 的 五箱 ,"某 商店 有 6 箱 货物 , 分别 是 8 , 18 , 21 , 22 , 23 , 35 有 两位 顾客 买 走 了 其中 的 5 箱 , 而且 一位 顾客 的 货物 重量 是 另 一个 顾客 的 3 倍 . 商店 剩下 的 那 一箱 重 ",2.0
四 氧化 三铁 和 一氧化碳 反应 ,四 氧化 三铁 和 一氧化碳 怎么 反应 ? ,2.0
测量 中 经常 使用 到 金属 制作 的 铅锤 这种 金属 每 立方厘米 的 质量 约 为 七点 八 ,测量 中 经常 使用 金属 制作 的 铅锤 。 这种 金属 每 立方厘米 的 质量 约 为 7.8 克 ， 这个 铅锤 约 多少 克 ？ 直径 5cm 高 4cm 是 圆锥 ,2.0
平底 茶杯 放在 水平 桌面上 ,"有 一个 平底 薄壁 茶杯 , 将 他 空着 正 放在 水平 面上 , 对 桌面 的 压力 和 压强 分别 是 F1 和 P1 ； 把 它 倒扣 在 同一 桌面上 , 对 桌面 的 压力 和 压强 分别 是 F2 和 P2 , 则 （ 比较 它们 的 大小 ",2.0
圆周运动 摩擦力 怎么 求 ,变速 圆周运动 静摩擦力 方向 ,1.0
"从 输导组织 看 , 为什么 被子植物 比 裸子植物 更 进化 ","有关 生物 的 题 从 输导组织 上 看 , 为什么 被子植物 比 裸子植物 更 进化 ? ",3.0
孔子 曰 吾 死 之后 则 商 也 日益 ,"英语翻译 孔子 曰 ： “ 吴死 之后 , 则 商 也 日益 , 赐 也 日损 . ” 曾子 曰 ： “ 何谓 也 ? ” 子 曰 ： “ 商好 与 贤己 者 处 , 赐 好 说 不若己 者 . 不知 其子 , 视 其父 ； 不知 其 人 ",2.0
大小 两只 船合运 一批 货物 大船 装载 的 货物 是 小船 的 1.8 倍 小船 比 大船 少运 40 吨 两只 船 各运 货物 多少 吨 ? ,"大小 两只 船和运 一批 货物 , 大船 装载 的 货物 是 小船 的 1.8 倍 , 小船 比 大船 少运 40 吨 , 两只 船运 多少 吨 ? （ 用 方程解 ） ",3.0
最后 一 课以 什么 为 线索 ,《 最后 一课 》 这篇 课文 是 以 什么 为 线索 展开 叙述 的 ,3.0
小 灯泡 的 亮度 由 什么 决定 ,"灯泡 的 亮度 由 （ ） 决定 , 它 的 实际 功率 随它 两端 所加 的 （ ） 而变 ",3.0
刘邓 大军 挺进 大别山 的 意义 ,1946 年 夏 ， 刘邓 大军 挺进 大别山 ， 人民解放军 开始 转入 战略 反攻 。 ,1.0
如图 一 在 底 面积 为 一百 平方厘米 高为 二十厘米 的 长方体 水槽 内 放入 一个 圆柱形 烧杯 以 恒定 不变 的 流量 速度 向 烧杯 中 注水 ,"数学 函数 问题 如图 1 , 在 底 面积 为 100cm &# 178 ; 、 高为 20cm 的 长方体 水槽 内 放入 一个 圆柱形 烧杯 ． 以 恒定 不变 的 流量 速度 先 向 烧杯 中 注水 , 注满 烧杯 后 , 继续 注水 , 直至 注满 水槽 为止 , 此 ",2.0
与 黄河 有关 的 历史 人物 故事 ,与 黄河 有关 的 历史 传说 或 历史 人物 故事 a . 大禹治水 b .________ ,3.0
什么 是 时代精神 的 核心 ,下列 关于 民族 精神 与 时代精神 关系 表述 正确 的 是 ① 民族 精神 以 时代精神 为 核心 ， 时代精神 以 民族 精神 为 基础 ② 不断 注入 时代精神 ， 才能 让 民族 精神 博采众长 、 日益 丰富 ③ 坚持 培育 民族 精神 ， 才能 让 时代精神 不 移 根基 、 ,1.0
